scientificName;redlistCategory
Hexanchus griseus;Near Threatened
Lamna nasus;Vulnerable
Macrochelys temminckii;Endangered
Myotis alcathoe;Data Deficient
Diplodus cervinus;Least Concern
Tudorella ferruginea;Least Concern
Sphaerium corneum;Least Concern
Paludinella sicana;Least Concern
Pomatias canariensis;Data Deficient
Pomatias palmensis;Data Deficient
Pomatias lanzarotensis;Data Deficient
Acroloxus lacustris;Least Concern
Corbicula fluminea;Least Concern
Gyraulus chinensis;Least Concern
Gyraulus laevis;Least Concern
Pomatias laevigatus;Data Deficient
Potamopyrgus antipodarum;Least Concern
Sphaerium solidum;Near Threatened
Pseudosuccinea columella;Least Concern
Tarraconia rolani;Endangered
Norelona pyrenaica;Least Concern
Chamaeleo chamaeleon;Least Concern
Chalcides ocellatus;Least Concern
Coronella austriaca;Least Concern
Trichoferus magnanii;Least Concern
Enallagma cyathigerum;Least Concern
Pagrus pagrus;Least Concern
Erebia neoridas;Least Concern
Erebia palarica;Near Threatened
Erebia gorge;Least Concern
Vanessa virginiensis;Least Concern
Carcharhinus altimus;Near Threatened
Alopias superciliosus;Vulnerable
Pteroplatytrygon violacea;Least Concern
Stoloteuthis leucoptera;Data Deficient
Rossia macrosoma;Data Deficient
Sepiola affinis;Data Deficient
Rhombosepion orbignyanum;Data Deficient
Sepietta oweniana;Data Deficient
Sepiola steenstrupiana;Data Deficient
Sepia bertheloti;Data Deficient
Loligo forbesii;Least Concern
Octopus vulgaris;Least Concern
Rhombosepion elegans;Data Deficient
Sepiola rondeletii;Data Deficient
Sepietta petersi;Data Deficient
Spirula spirula;Least Concern
Sepiola robusta;Data Deficient
Sepietta neglecta;Data Deficient
Sepiola aurantiaca;Least Concern
Sepiola atlantica;Data Deficient
Sepiola ligulata;Data Deficient
Heteroteuthis dispar;Data Deficient
Sepiola intermedia;Data Deficient
Neorossia caroli;Least Concern
Sepia officinalis;Least Concern
Sepiola knudseni;Data Deficient
Rondeletiola minor;Data Deficient
Leachia atlantica;Data Deficient
Muusoctopus normani;Least Concern
Joubiniteuthis portieri;Least Concern
Japetella diaphana;Least Concern
Vitreledonella richardi;Least Concern
Alloteuthis media;Data Deficient
Histioteuthis bonnellii;Least Concern
Ocythoe tuberculata;Least Concern
Pteroctopus tetracirrhus;Least Concern
Argonauta argo;Least Concern
Brachioteuthis riisei;Data Deficient
Ancistroteuthis lichtensteini;Least Concern
Bathypolypus sponsalis;Least Concern
Opisthoteuthis massyae;Vulnerable
Graneledone verrucosa;Least Concern
Ommastrephes bartramii;Least Concern
Todarodes sagittatus;Least Concern
Haliphron atlanticus;Least Concern
Octopus salutii;Data Deficient
Argonauta hians;Least Concern
Alloteuthis subulata;Data Deficient
Bathypolypus bairdii;Least Concern
Architeuthis dux;Least Concern
Taningia danae;Least Concern
Mastigoteuthis agassizii;Data Deficient
Scaergus unicirrhus;Data Deficient
Opisthoteuthis grimaldii;Data Deficient
Eledone cirrhosa;Least Concern
Bolitaena pygmaea;Least Concern
Callistoctopus macropus;Least Concern
Eledone moschata;Least Concern
Mastigoteuthis danae;Data Deficient
Eleocharis palustris;Least Concern
Leersia hexandra;Least Concern
Veronica anagallis-aquatica;Least Concern
Phalaris arundinacea;Least Concern
Teucrium aristatum;Endangered
Leersia oryzoides;Least Concern
Alopecurus aequalis;Least Concern
Ranunculus sceleratus;Least Concern
Potamogeton perfoliatus;Least Concern
Eleocharis acicularis;Least Concern
Bolboschoenus maritimus;Least Concern
Juncus tingitanus;Endangered
Fimbristylis squarrosa;Least Concern
Myriophyllum verticillatum;Least Concern
Arundo donax;Least Concern
Epilobium hirsutum;Least Concern
Cyperus flavidus;Least Concern
Persicaria lapathifolia;Least Concern
Zannichellia obtusifolia;Near Threatened
Epilobium parviflorum;Least Concern
Catabrosa aquatica;Least Concern
Potentilla supina;Least Concern
Mesalina olivieri;Least Concern
Hydrocena gutta;Least Concern
Carassius auratus;Least Concern
Misgurnus anguillicaudatus;Least Concern
Hippuris vulgaris;Least Concern
Veronica peregrina;Least Concern
Najas gracillima;Least Concern
Poa annua;Least Concern
Epilobium palustre;Least Concern
Drosera rotundifolia;Least Concern
Schoenoplectiella erecta;Least Concern
Plantago major;Least Concern
Schoenoplectiella supina;Least Concern
Paspalum distichum;Least Concern
Palinurus elephas;Vulnerable
Dentex angolensis;Near Threatened
Pagrus caeruleostictus;Least Concern
Lithognathus mormyrus;Least Concern
Pagellus bellottii;Least Concern
Dentex maroccanus;Least Concern
Sarpa salpa;Least Concern
Dentex gibbosus;Least Concern
Dentex canariensis;Least Concern
Oblada melanura;Least Concern
Pagrus auriga;Least Concern
Diplodus bellottii;Least Concern
Pagellus erythrinus;Least Concern
Pagellus acarne;Least Concern
Dentex macrophthalmus;Least Concern
Pagellus bogaraveo;Near Threatened
Dentex dentex;Vulnerable
Boops boops;Least Concern
Sparus aurata;Least Concern
Spondyliosoma cantharus;Least Concern
Diplodus annularis;Least Concern
Diplodus vulgaris;Least Concern
Diplodus puntazzo;Least Concern
Spicara maena;Least Concern
Spicara smaris;Least Concern
Centracanthus cirrus;Least Concern
Cryptella alegranzae;Critically Endangered
Ferussacia valida;Near Threatened
Atlantica textilis;Data Deficient
Retinella osoriensis;Endangered
Arion ater;Least Concern
Vitrea subrimata;Least Concern
Oxychilus altimirai;Data Deficient
Discus rotundatus;Least Concern
Arion hortensis;Least Concern
Arion wiktori;Data Deficient
Retinella circumsessa;Least Concern
Coilostele acus;Data Deficient
Gibbulinella dealbata;Least Concern
Arion fagophilus;Least Concern
Vermetum festinans;Critically Endangered
Arion rufus;Least Concern
Arion magnus;Data Deficient
Geomalacus oliveirae;Near Threatened
Janulus pompylius;Critically Endangered
Ambigolimax nyctelius;Least Concern
Testacella haliotidea;Least Concern
Oxychilus navarricus;Least Concern
Retinella rochebruni;Least Concern
Ferussacia tumidula;Data Deficient
Retinella incerta;Least Concern
Atlantica retexta;Data Deficient
Ferussacia attenuata;Least Concern
Arion gilvus;Least Concern
Atlantica gomerensis;Critically Endangered
Ferussacia vitrea;Least Concern
Arion iratii;Vulnerable
Vitrea narbonensis;Least Concern
Cecilioides poupillieri;Data Deficient
Aegopinella epipedostoma;Least Concern
Macrogastra attenuata;Least Concern
Oxychilus courquini;Least Concern
Arion paularensis;Data Deficient
Arion urbiae;Least Concern
Arion baeticus;Near Threatened
Oxychilus cellarius;Least Concern
Clausilia rugosa;Least Concern
Arion molinae;Data Deficient
Oxychilus alliarius;Least Concern
Ferussacia submajor;Near Threatened
Arion silvaticus;Least Concern
Arion flagellus;Least Concern
Ferussacia fritschi;Least Concern
Arion hispanicus;Data Deficient
Letourneuxia moreleti;Data Deficient
Ferussacia lanzarotensis;Least Concern
Oxychilus lentiformis;Least Concern
Geomalacus malagensis;Least Concern
Tandonia sowerbyi;Least Concern
Oxychilus rateranus;Least Concern
Macrogastra plicatula;Least Concern
Oxychilus pityusanus;Least Concern
Arion fuligineus;Least Concern
Cryptella famarae;Vulnerable
Testacella scutulum;Least Concern
Hypnophila boissii;Least Concern
Atlantica ganoda;Least Concern
Atlantica kompsa;Near Threatened
Retinella lenis;Near Threatened
Azeca goodalli;Least Concern
Oxychilus draparnaudi;Least Concern
Aegopinella nitidula;Least Concern
Euconulus callopisticus;Data Deficient
Balea heydeni;Least Concern
Limacus flavus;Least Concern
Vitrea gasulli;Least Concern
Gibbulinella dewinteri;Least Concern
Clausilia bidentata;Least Concern
Geomalacus anguiformis;Near Threatened
Xerotricha garachicoensis;Critically Endangered
Arion intermedius;Least Concern
Gigantomilax majoricensis;Least Concern
Cryptella canariensis;Near Threatened
Limax cinereoniger;Least Concern
Lehmannia rupicola;Least Concern
Arion nobrei;Data Deficient
Oxychilus anjana;Least Concern
Cryptella auriculata;Vulnerable
Balea perversa;Least Concern
Oxychilus clarus;Near Threatened
Drusia valenciennii;Least Concern
Arion lizarrustii;Data Deficient
Ambigolimax valentianus;Least Concern
Gigantomilax benjaminus;Least Concern
Assiminea glaubrechti;Data Deficient
Indotyphlops braminus;Least Concern
Tremoctopus violaceus;Least Concern
Schoenoplectus tabernaemontani;Least Concern
Persicaria maculosa;Least Concern
Opisthoteuthis calypso;Vulnerable
Chiroteuthis veranyi;Least Concern
Vicia serratifolia;Least Concern
Vicia sepium;Least Concern
Vicia narbonensis;Least Concern
Vicia sativa;Least Concern
Vicia johannis;Least Concern
Vicia lutea;Least Concern
Vicia pannonica;Least Concern
Vicia bithynica;Least Concern
Vicia melanops;Least Concern
Vicia lathyroides;Least Concern
Vicia hybrida;Least Concern
Vicia peregrina;Least Concern
Cyperus sesquiflorus;Least Concern
Ammannia verticillata;Least Concern
Pteris vittata;Least Concern
Cryptella tamaranensis;Critically Endangered
Acanthurus monroviae;Least Concern
Tripterygion tartessicum;Least Concern
Pomatias raricosta;Data Deficient
Parastichopus tremulus;Data Deficient
Molpadiodemas involutus;Data Deficient
Paroriza prohoi;Data Deficient
Mesothuria verrilli;Data Deficient
Holothuria stellati;Data Deficient
Holothuria poli;Least Concern
Holothuria forskali;Least Concern
Parastichopus regalis;Least Concern
Bathyplotes tizardi;Data Deficient
Holothuria sanctori;Least Concern
Mesothuria connectens;Data Deficient
Paroriza pallens;Data Deficient
Paelopatides gigantea;Data Deficient
Bathyplotes pourtalesii;Least Concern
Holothuria arguinensis;Data Deficient
Molpadiodemas villosus;Least Concern
Bathyplotes natans;Least Concern
Holothuria tubulosa;Least Concern
Mesothuria candelabra;Data Deficient
Synallactes crucifera;Least Concern
Mesothuria lactea;Least Concern
Mesothuria roulei;Data Deficient
Pseudostichopus occulatatus;Data Deficient
Holothuria helleri;Least Concern
Holothuria mammata;Least Concern
Mesothuria maroccana;Data Deficient
Holothuria dakarensis;Least Concern
Mesothuria intestinalis;Least Concern
Squalius pyrenaicus;Vulnerable
Blennius ocellaris;Least Concern
Spaniblennius riodourensis;Data Deficient
Tripterygion delaisi;Least Concern
Clinitrachus argentatus;Least Concern
Coryphoblennius galerita;Least Concern
Aidablennius sphynx;Least Concern
Salaria pavo;Least Concern
Lipophrys pholis;Least Concern
Parablennius incognitus;Least Concern
Dactylopterus volitans;Least Concern
Parablennius tentacularis;Least Concern
Parablennius sanguinolentus;Least Concern
Chromis chromis;Least Concern
Abudefduf luridus;Least Concern
Chromis limbata;Least Concern
Muraena melanotis;Least Concern
Sphoeroides pachygaster;Least Concern
Halosaurus guentheri;Least Concern
Gymnothorax maderensis;Least Concern
Serrivomer beanii;Least Concern
Gymnothorax polygonius;Least Concern
Zenopsis conchifer;Least Concern
Avocettina infans;Least Concern
Aldrovandia affinis;Least Concern
Polyacanthonotus challengeri;Least Concern
Corniger spinosus;Least Concern
Mulloidichthys martinicus;Least Concern
Nettastoma melanurum;Least Concern
Aldrovandia gracilis;Least Concern
Polyacanthonotus merretti;Least Concern
Narrowteuthis nesisi;Data Deficient
Chtenopteryx canariensis;Data Deficient
Loligo vulgaris;Data Deficient
Labichthys carinatus;Least Concern
Conus ventricosus;Least Concern
Conus genuanus;Least Concern
Conus guanche;Least Concern
Narcissus poeticus;Least Concern
Acer campestre;Least Concern
Canthigaster capistrata;Least Concern
Balistes punctatus;Vulnerable
Ephippion guttifer;Least Concern
Sphoeroides marmoratus;Least Concern
Acer opalus;Least Concern
Acer platanoides;Least Concern
Quercus cerris;Least Concern
Quercus coccifera;Least Concern
Quercus pauciradiata;Data Deficient
Quercus pubescens;Least Concern
Quercus suber;Least Concern
Carpinus betulus;Least Concern
Parapristipoma humile;Least Concern
Parapristipoma octolineatum;Least Concern
Plectorhinchus mediterraneus;Data Deficient
Chlopsis bicolor;Least Concern
Ariosoma balearicum;Least Concern
Conger conger;Least Concern
Gymnothorax unicolor;Least Concern
Muraena helena;Least Concern
Apterichtus anguiformis;Least Concern
Apterichtus caecus;Least Concern
Dalophis imberbis;Least Concern
Echelus myrus;Least Concern
Ophisurus serpens;Least Concern
Dysomma brevirostre;Least Concern
Anarchias longicauda;Least Concern
Enchelycore anatina;Least Concern
Gymnothorax bacalladoi;Data Deficient
Gymnothorax vicinus;Least Concern
Muraena augusti;Least Concern
Aldrovandia phalacra;Least Concern
Halosauropsis macrochir;Least Concern
Halosaurus johnsonianus;Least Concern
Halosaurus ovenii;Least Concern
Apogon imberbis;Least Concern
Backeljaia corbellai;Least Concern
Pelicinus marmoratus;Least Concern
Hasarius adansoni;Least Concern
Typhlatya miravetensis;Vulnerable
Dugastella valentina;Near Threatened
Atyaephyra desmarestii;Least Concern
Myrichthys pardalis;Least Concern
Saurenchelys stylura;Least Concern
Nettenchelys dionisi;Data Deficient
Dysommina proboscideus;Data Deficient
Ilyophis brunneus;Least Concern
Heteroconger longissimus;Least Concern
Pisodonophis semicinctus;Least Concern
Pseudophichthys splendens;Least Concern
Mystriophis crosnieri;Least Concern
Histiobranchus bathybius;Data Deficient
Nemichthys curvirostris;Least Concern
Venefica proboscidea;Least Concern
Nessorhamphus ingolfianus;Least Concern
Osyris lanceolata;Least Concern
Achillea ptarmica;Least Concern
Alchemilla xanthochlora;Least Concern
Artemisia umbelliformis;Least Concern
Chamaemelum nobile;Least Concern
Leucojum vernum;Least Concern
Pulmonaria officinalis;Least Concern
Colchicum autumnale;Least Concern
Leontopodium alpinum;Least Concern
Santolina oblongifolia;Near Threatened
Erica cinerea;Least Concern
Rhododendron ferrugineum;Least Concern
Gentiana acaulis;Least Concern
Erodium foetidum;Least Concern
Ramonda myconi;Least Concern
Galeopsis segetum;Data Deficient
Lavandula angustifolia;Least Concern
Lavandula latifolia;Least Concern
Salvia officinalis;Least Concern
Sideritis glacialis;Least Concern
Sideritis hyssopifolia;Least Concern
Sideritis leucantha;Least Concern
Sideritis reverchonii;Endangered
Thymus baeticus;Least Concern
Thymus mastichina;Least Concern
Thymus vulgaris;Least Concern
Trifolium alpinum;Least Concern
Polygala calcarea;Least Concern
Rosa pendulina;Least Concern
Salix daphnoides;Least Concern
Arvicola sapidus;Near Threatened
Testudo hermanni;Vulnerable
Testudo marginata;Least Concern
Tinca tinca;Least Concern
Carcharhinus limbatus;Vulnerable
Carcharhinus obscurus;Endangered
Carcharhinus plumbeus;Endangered
Carcharias taurus;Critically Endangered
Orthotrichum scanicum;Least Concern
Isurus oxyrinchus;Endangered
Galeorhinus galeus;Critically Endangered
;false
Carcharhinus leucas;Vulnerable
Carcharhinus longimanus;Critically Endangered
Prionace glauca;Near Threatened
Sphyrna lewini;Critically Endangered
Sphyrna mokarran;Critically Endangered
Sphyrna zygaena;Vulnerable
Carcharhinus brachyurus;Vulnerable
Echinorhinus brucus;Endangered
Heptranchias perlo;Near Threatened
Juniperus communis;Least Concern
Juniperus oxycedrus;Least Concern
Juniperus sabina;Least Concern
Juniperus thurifera;Least Concern
Pinus halepensis;Least Concern
Pinus nigra;Least Concern
Pinus pinaster;Least Concern
Pinus sylvestris;Least Concern
Mitsukurina owstoni;Least Concern
Harriotta raleighana;Least Concern
Squaliolus laticaudus;Least Concern
Zameus squamulosus;Least Concern
Isurus paucus;Endangered
Poecilia reticulata;Least Concern
Succisella andreae-molinae;Endangered
Euphorbia margalidiana;Vulnerable
Dalatias licha;Vulnerable
Betula pendula;Least Concern
Quercus ilex;Least Concern
Quercus petraea;Least Concern
Gymnura altavela;Endangered
Alnus glutinosa;Least Concern
Corylus avellana;Least Concern
Quercus robur;Least Concern
Eliomys quercinus;Vulnerable
Hydrotarsus compunctus;Critically Endangered
Hydrotarsus pilosus;Endangered
Hyles hippophaes;Data Deficient
Canarivitrina mascaensis;Near Threatened
Insulivitrina reticulata;Critically Endangered
Insulivitrina tuberculata;Near Threatened
Lauria fanalensis;Least Concern
Alzoniella elliptica;Vulnerable
Phengaris arion;Lower Risk/near threatened
Phengaris nausithous;Lower Risk/near threatened
Phengaris teleius;Lower Risk/near threatened
Anergates atratulus;Vulnerable
Meladema imbricata;Critically Endangered
Melanogrammus aeglefinus;Vulnerable
Montserratina bofilliana;Near Threatened
Myrmica lemasnei;Vulnerable
Napaeus isletae;Critically Endangered
Napaeus pygmaeus;Least Concern
Obelus despreauxii;Vulnerable
Oestophora ortizi;Near Threatened
Cymodocea nodosa;Least Concern
Zostera marina;Least Concern
Pacifastacus leniusculus;Least Concern
Procambarus clarkii;Least Concern
Coryphaena hippurus;Least Concern
Diaphus rafinesquii;Least Concern
Hypleurochilus bananensis;Least Concern
Caranx crysos;Least Concern
Chaenophryne longiceps;Least Concern
Benthocometes robustus;Least Concern
Diaphus holti;Least Concern
Argyropelecus hemigymnus;Least Concern
Parablennius parvicornis;Least Concern
Macroramphosus scolopax;Least Concern
Cheilopogon pinnatibarbatus;Least Concern
Pomadasys incisus;Least Concern
Synodus saurus;Least Concern
Serranus atricauda;Data Deficient
Hemicycla pouchet;Vulnerable
Xerocrassa moraguesi;Endangered
Stagnicola fuscus;Least Concern
Moitessieria seminiana;Data Deficient
Assiminea eliae;Least Concern
Guadiella ramosae;Vulnerable
Mercuria bayonnensis;Vulnerable
Iberhoratia gatoa;Vulnerable
Unio pictorum;Least Concern
Islamia coronadoi;Data Deficient
Sardopaladilhia subdistorta;Data Deficient
Chondrobasis levantina;Near Threatened
Melanopsis penchinati;Critically Endangered
Spiralix pequenoensis;Vulnerable
Sphaerium ovale;Least Concern
Corrosella luisi;Data Deficient
Ecrobia vitrea;Least Concern
Moitessieria olleri;Near Threatened
Eupaludestrina macei;Data Deficient
Belgrandia boscae;Near Threatened
Moitessieria servaini;Data Deficient
Moitessieria notenboomi;Data Deficient
Alzoniella galaica;Critically Endangered
Bithynia leachii;Least Concern
Moitessieria meijersae;Data Deficient
Corrosella falkneri;Near Threatened
Palaospeum hispanicum;Data Deficient
Moitessieria robresia;Data Deficient
Corrosella navasiana;Data Deficient
Spiralix gloriae;Vulnerable
Bythinella baudoni;Least Concern
Alzoniella montana;Near Threatened
Alzoniella rolani;Near Threatened
Melanopsis tricarinata;Least Concern
Islamia ateni;Extinct
Diegus gasulli;Vulnerable
Guadiella arconadae;Vulnerable
Ecrobia ventrosa;Least Concern
Bythinella rufescens;Least Concern
Moitessieria lludrigaensis;Vulnerable
Sardopaladilhia buccina;Data Deficient
Planorbis moquini;Least Concern
Boetersiella davisi;Vulnerable
Moitessieria foui;Vulnerable
Palaospeum septentrionalis;Data Deficient
Melanopsis praemorsa;Least Concern
Alzoniella murita;Data Deficient
Plesiella guipuzcoa;Data Deficient
Hydrobia acuta;Least Concern
Alzoniella ovetensis;Least Concern
Ecrobia atuca;Data Deficient
Valvata macrostoma;Least Concern
Eupaludestrina canariensis;Data Deficient
Alzoniella cantabrica;Least Concern
Corrosella hydrobiopsis;Vulnerable
Plesiella navarrensis;Data Deficient
Gyraulus clymene;Data Deficient
Boetersiella sturmi;Endangered
Islamia globulus;Near Threatened
Alzoniella onatensis;Critically Endangered
Pseudamnicola subproductus;Least Concern
Alzoniella edmundi;Endangered
Hippeutis complanatus;Least Concern
Melanopsis cariosa;Data Deficient
Spiralix valenciana;Endangered
Sardopaladilhia marianae;Data Deficient
Eupaludestrina stagnorum;Least Concern
Spathogyna fezi;Endangered
Belgrandia marginata;Data Deficient
Tarraconia gasulli;Critically Endangered
Moitessieria guadelopensis;Vulnerable
Planorbarius corneus;Least Concern
Alzoniella lucensis;Least Concern
Sardopaladilhia distorta;Data Deficient
Omphiscola glabra;Near Threatened
Unio tumidus;Least Concern
Pseudamnicola emilianus;Data Deficient
Mercuria maceana;Data Deficient
Physa fontinalis;Least Concern
Euglesa obtusalis;Least Concern
Alzoniella asturica;Endangered
Corrosella hinzi;Data Deficient
Bythinella batalleri;Least Concern
Guadiella andalucesis;Vulnerable
Spiralix affinitatis;Data Deficient
Melanopsis lorcana;Near Threatened
Napaeus texturatus;Data Deficient
Xeroplexa intersecta;Least Concern
Helicella itala;Least Concern
Napaeus propinquus;Data Deficient
Chondrina ripkeni;Near Threatened
Hemicycla granomalleata;Data Deficient
Insulivitrina solemi;Least Concern
Napaeus roccellicola;Vulnerable
Xerotricha crispolanata;Data Deficient
Canariella eutropis;Endangered
Mengoana jeschaui;Least Concern
Abida partioti;Least Concern
Napaeus indifferens;Data Deficient
Canariella multigranosa;Least Concern
Helicodonta obvoluta;Least Concern
Napaeus gruereanus;Data Deficient
Chondrina centralis;Vulnerable
Pyrenaearia carascalopsis;Near Threatened
Canarivitrina taburientensis;Least Concern
Xerotricha corderoi;Least Concern
Napaeus helvolus;Least Concern
Napaeus maffioteanus;Data Deficient
Iberus splendidus;Least Concern
Abida cylindrica;Least Concern
Hemicycla quadricincta;Near Threatened
Hemicycla glasiana;Least Concern
Cernuella cisalpina;Least Concern
Euomphalia strigella;Least Concern
Theba clausoinflata;Near Threatened
Hemicycla cf. themera;Data Deficient
Xerotricha nubivaga;Least Concern
Corneola squamatina;Least Concern
Xerotricha jamuzensis;Least Concern
Xerosecta arigonis;Least Concern
Hemicycla sarcostoma;Least Concern
Merdigera obscura;Least Concern
Xerocrassa ripacurcica;Least Concern
Jaminia quadridens;Least Concern
Monilearia granostriata;Critically Endangered
Ena montana;Least Concern
Xerotricha gonzalezi;Least Concern
Hemicycla fritschi;Data Deficient
Hemicycla hedybia;Data Deficient
Napaeus flavoterminatus;Data Deficient
Platyla cryptomena;Least Concern
Monilearia oleacea;Least Concern
Napaeus beguirae;Near Threatened
Monilearia pulverulenta;Critically Endangered
Zarateana rocandioi;Least Concern
Theba andalusica;Data Deficient
Monilearia praeposita;Data Deficient
Truncatellina purpuraria;Data Deficient
Helix pomatia;Least Concern
Backeljaia najerensis;Least Concern
Hemicycla guamartemes;Data Deficient
Platyla polita;Least Concern
Oestophora silvae;Least Concern
Suboestophora gasulli;Near Threatened
Napaeus baeticatus;Least Concern
Napaeus tenoensis;Least Concern
Canariella lanosa;Least Concern
Chondrina avenacea;Least Concern
Chondrina kobeltoides;Least Concern
Chondrina ascendens;Least Concern
Xerocrassa prietoi;Near Threatened
Montserratina martorelli;Least Concern
Corneola desmoulinsii;Least Concern
Xerotricha orbignii;Least Concern
Napaeus orientalis;Near Threatened
Hygromia odeca;Vulnerable
Oestophora granesae;Vulnerable
Napaeus rufobrunneus;Least Concern
Suboestophora boscae;Least Concern
Helicella cistorum;Least Concern
Xerocrassa grata;Data Deficient
Monilearia watsoniana;Data Deficient
Napaeus chrysaloides;Data Deficient
Mastigophallus rangianus;Near Threatened
Napaeus consecoanus;Near Threatened
Napaeus subgracilior;Data Deficient
Ponentina revelata;Data Deficient
Canariella discobolus;Near Threatened
Allognathus balearicus;Least Concern
Cernuella aginnica;Least Concern
Xerotricha huidobroi;Near Threatened
Chondrina tenuimarginata;Least Concern
Platyla callostoma;Least Concern
Cernuella neglecta;Least Concern
Monilearia montigena;Near Threatened
Menkia horsti;Near Threatened
Platyla dupuyi;Least Concern
Canariella gomerae;Least Concern
Napaeus anaga;Data Deficient
Corneola acrotricha;Near Threatened
Napaeus variatus;Least Concern
Ciliella ciliata;Least Concern
Monacha cantiana;Least Concern
Xerocrassa frater;Least Concern
Helicella sabulivaga;Data Deficient
Iberus marmoratus;Least Concern
Insulivitrina canariensis;Near Threatened
Napaeus taguluchensis;Vulnerable
Canariella huttereri;Endangered
Canariella hispidula;Vulnerable
Insulivitrina emmersoni;Near Threatened
Canariella bimbachensis;Vulnerable
Guerrina christinae;Near Threatened
Napaeus ocellatus;Data Deficient
Obelus moratus;Vulnerable
Hemicycla saponacea;Near Threatened
Insulivitrina tamaranensis;Least Concern
Monacha atacis;Least Concern
Insulivitrina eceroensis;Least Concern
Monilearia persimilis;Least Concern
Suboestophora tarraconensis;Near Threatened
Monilearia caementitia;Least Concern
Oestophora lusitanica;Least Concern
Spermodea lamellata;Near Threatened
Xerocrassa cobosi;Data Deficient
Pyrenaearia carascalensis;Least Concern
Obelus discogranulatus;Endangered
Hemicycla bethencourtiana;Near Threatened
Ponentina ponentina;Least Concern
Backeljaia camporroblensis;Least Concern
Napaeus badiosus;Least Concern
Trochoidea elegans;Least Concern
Napaeus rupicola;Vulnerable
Insulivitrina oromii;Least Concern
Obelus moderatus;Least Concern
Xerosecta promissa;Least Concern
Pyrenaearia cantabrica;Least Concern
Xerocrassa ebusitana;Near Threatened
Semilimax pyrenaicus;Least Concern
Abida pyrenaearia;Least Concern
Granaria braunii;Least Concern
Canariella subhispidula;Least Concern
Abida bigerrensis;Least Concern
Canarivitrina dianae;Vulnerable
Hemicycla efferata;Critically Endangered
Ganula gadirana;Vulnerable
Hemicycla flavistoma;Least Concern
Napaeus bertheloti;Least Concern
Xerocrassa subrogata;Least Concern
Monilearia phalerata;Near Threatened
Insulivitrina lamarckii;Least Concern
Xerocrassa geyeri;Data Deficient
Helicella valdeona;Vulnerable
Chondrina arigonis;Near Threatened
Backeljaia gigaxii;Least Concern
Napaeus inflatiusculus;Data Deficient
Xerocrassa cardonae;Vulnerable
Xerocrassa turolensis;Near Threatened
Xerocrassa cisternasi;Near Threatened
Abida occidentalis;Least Concern
Hygromia cinctella;Least Concern
Zarateana arganica;Least Concern
Abida polyodon;Least Concern
Canariella ronceroi;Critically Endangered
Xerocrassa barceloi;Least Concern
Arianta xatartii;Vulnerable
Hemicycla paeteliana;Critically Endangered
Argna biplicata;Least Concern
Hemicycla bidentalis;Least Concern
Xerotricha adoptata;Least Concern
Napaeus esbeltus;Vulnerable
Helicigona lapicida;Least Concern
Monilearia tumulorum;Critically Endangered
Ashfordia granulata;Least Concern
Monilearia loweana;Least Concern
Chondrina altimirai;Near Threatened
Cepaea nemoralis;Least Concern
Napaeus bechi;Least Concern
Canariella planaria;Least Concern
Canariella plutonia;Least Concern
Hemicycla incisogranulata;Near Threatened
Abida attenuata;Least Concern
Helicella ordunensis;Least Concern
Napaeus obesatus;Least Concern
Steenbergia paupercula;Least Concern
Napaeus encaustus;Least Concern
Canariella berthelotii;Least Concern
Hemicycla psathyra;Data Deficient
Canariella squamata;Near Threatened
Allognathus pyrenaicus;Near Threatened
Monilearia woodwardia;Least Concern
Xerotricha lancerottensis;Least Concern
Xerotricha madritensis;Least Concern
Xerocrassa roblesi;Vulnerable
Xerotricha pavida;Endangered
Canariella tillieri;Near Threatened
Hemicycla perraudierei;Least Concern
Chondrina kobelti;Least Concern
Insulivitrina nogalesi;Least Concern
Portugala inchoata;Least Concern
